 land area male female population density
0 Baden-Württemberg 35751.65 5271 5465 10736 300.0
1 Bayern 70551.57 6103 6366 12469 177.0
2 Berlin 891.85 1660 1736 3396 3808.0
3 Brandenburg 29478.61 1267 1293 2560 87.0
4 Bremen 404.28 321 342 663 1640.0
5 Hamburg 755.16 849 894 1743 2308.0
6 Hessen 21114.79 2983 3109 6092 289.0
7 Mecklenburg-Vorpommern 23180.14 846 861 1707 74.0
8 Niedersachsen 47624.2 3918 4076 7994 168.0
9 Nordrhein-Westfalen 34085.29 8797 9261 18058 530.0
10 Rheinland-Pfalz 19853.36 1990 2069 4059 204.0
11 Saarland 2568.7 510 540 1050 409.0
12 Sachsen 18415.51 2083 2191 4274 232.0
13 Sachsen-Anhalt 20446.31 1206 1264 2470 121.0
14 Schleswig-Holstein 15799.38 1385 1448 2833 179.0
15 Thüringen 16172.1 1150 1185 2335 144.0
