@RELATION restaurant
@ATTRIBUTE x1 {Yes,No}
@ATTRIBUTE x2 {Yes,No}
@ATTRIBUTE x3 {Yes,No}
@ATTRIBUTE x4 {Yes,No}
@ATTRIBUTE x5 {None,Some,Full}
@ATTRIBUTE price {$,$$,$$$}
@ATTRIBUTE x7 {Yes,No}
@ATTRIBUTE x8 {Yes,No}
@ATTRIBUTE waitTime {0-10,10-30,30-60,>60}
@ATTRIBUTE x11 {Yes,No}
@ATTRIBUTE x9 {French,Thai,Burger,Italian}

@DATA
Yes, No, No, Yes, Some, $$$, No, Yes, 0-10, Yes, French
Yes, No, No, Yes, Full, $, No, No, 30-60, No, Thai
No, Yes, No, No, Some, $, No, No, 0-10, Yes, Burger
Yes, No, Yes, Yes, Full, $, No, No, 10-30, Yes, Thai
Yes, No, Yes, No, Full, $$$, No, Yes, >60, No, French
No, Yes, No, Yes, Some, $$, Yes, Yes, 0-10, Yes, Italian
No, Yes, No, No, None, $, Yes, No, 0-10, No, Burger
No, No, No, Yes, Some, $$, Yes, Yes, 0-10, Yes, Thai
No, Yes, Yes, No, Full, $, Yes, No, >60, No, Burger
Yes, Yes, Yes, Yes, Full, $$$, No, Yes, 10-30, No, Italian
No, No, No, No, None, $, No, No, 0-10, No, Thai
Yes, Yes, Yes, Yes, Full, $, No, No, 30-60, Yes, Burger
